in s,C1 in V,C2 in V
-1.586144E-04,6.57769E-01,1.96761E-02
-1.586112E-04,6.55814E-01,1.94806E-02
-1.586080E-04,6.55814E-01,1.94317E-02
-1.586048E-04,6.59724E-01,1.94317E-02
-1.586016E-04,6.61679E-01,1.96272E-02
-1.585984E-04,6.63634E-01,1.95295E-02
-1.585952E-04,6.61679E-01,1.94806E-02
-1.585920E-04,6.63634E-01,1.94806E-02
-1.585888E-04,6.63634E-01,1.92851E-02
-1.585856E-04,6.65589E-01,1.93829E-02
-1.585824E-04,6.63634E-01,1.96761E-02
-1.585792E-04,6.63634E-01,1.96761E-02
-1.585760E-04,6.67544E-01,1.94806E-02
-1.585728E-04,6.63634E-01,1.97739E-02
-1.585696E-04,6.61679E-01,1.97250E-02
-1.585664E-04,6.63634E-01,1.95295E-02
-1.585632E-04,6.61679E-01,1.95295E-02
-1.585600E-04,6.63634E-01,1.97739E-02
-1.585568E-04,6.65589E-01,1.95295E-02
-1.585536E-04,6.61679E-01,1.95784E-02
-1.585504E-04,6.61679E-01,1.93829E-02
-1.585472E-04,6.67544E-01,1.92851E-02
-1.585440E-04,6.63634E-01,1.95784E-02
-1.585408E-04,6.63634E-01,1.96272E-02
-1.585376E-04,6.57769E-01,1.90896E-02
-1.585344E-04,6.63634E-01,1.94317E-02
-1.585312E-04,6.67544E-01,1.96272E-02
-1.585280E-04,6.61679E-01,1.91874E-02
-1.585248E-04,6.65589E-01,1.94806E-02
-1.585216E-04,6.69499E-01,1.95784E-02
-1.585184E-04,6.69499E-01,1.92362E-02
-1.585152E-04,6.67544E-01,1.91874E-02
-1.585120E-04,6.69499E-01,1.96272E-02
-1.585088E-04,6.67544E-01,1.96761E-02
-1.585056E-04,6.67544E-01,1.92362E-02
-1.585024E-04,6.69499E-01,1.95784E-02
-1.584992E-04,6.69499E-01,1.97250E-02
-1.584960E-04,6.63634E-01,1.93829E-02
-1.584928E-04,6.65589E-01,1.92362E-02
-1.584896E-04,6.75364E-01,1.97739E-02
-1.584864E-04,6.65589E-01,1.93829E-02
-1.584832E-04,6.67544E-01,1.92362E-02
-1.584800E-04,6.75364E-01,1.98227E-02
-1.584768E-04,6.69499E-01,1.96761E-02
-1.584736E-04,6.71454E-01,1.92362E-02
-1.584704E-04,6.67544E-01,1.98716E-02
-1.584672E-04,6.71454E-01,1.97250E-02
-1.584640E-04,6.65589E-01,1.93340E-02
-1.584608E-04,6.67544E-01,1.95295E-02
-1.584576E-04,6.69499E-01,1.97739E-02
-1.584544E-04,6.67544E-01,1.93340E-02
-1.584512E-04,6.69499E-01,1.93829E-02
-1.584480E-04,6.67544E-01,1.94317E-02
-1.584448E-04,6.69499E-01,1.93829E-02
-1.584416E-04,6.69499E-01,1.93340E-02
-1.584384E-04,6.73409E-01,1.92851E-02
-1.584352E-04,6.77319E-01,1.94806E-02
-1.584320E-04,6.73409E-01,1.94317E-02
-1.584288E-04,6.71454E-01,1.91874E-02
-1.584256E-04,6.69499E-01,1.95784E-02
-1.584224E-04,6.75364E-01,1.96761E-02
-1.584192E-04,6.71454E-01,1.92362E-02
-1.584160E-04,6.73409E-01,1.95784E-02
-1.584128E-04,6.73409E-01,1.98716E-02
-1.584096E-04,6.79274E-01,1.94806E-02
-1.584064E-04,6.73409E-01,1.94317E-02
-1.584032E-04,6.75364E-01,2.00671E-02
-1.584000E-04,6.75364E-01,1.97250E-02
-1.583968E-04,6.71454E-01,1.94317E-02
-1.583936E-04,6.73409E-01,2.03604E-02
-1.583904E-04,6.77319E-01,1.99205E-02
-1.583872E-04,6.73409E-01,1.94317E-02
-1.583840E-04,6.77319E-01,2.01649E-02
-1.583808E-04,6.73409E-01,1.99694E-02
-1.583776E-04,6.79274E-01,1.94806E-02
-1.583744E-04,6.77319E-01,1.98716E-02
-1.583712E-04,6.75364E-01,1.96761E-02
-1.583680E-04,6.77319E-01,1.93829E-02
-1.583648E-04,6.79274E-01,1.99694E-02
-1.583616E-04,6.81229E-01,1.99694E-02
-1.583584E-04,6.81229E-01,1.95295E-02
-1.583552E-04,6.83184E-01,2.00182E-02
-1.583520E-04,6.79274E-01,1.99694E-02
-1.583488E-04,6.79274E-01,1.97250E-02
-1.583456E-04,6.75364E-01,1.99694E-02
-1.583424E-04,6.79274E-01,2.02137E-02
-1.583392E-04,6.83184E-01,1.96761E-02
-1.583360E-04,6.77319E-01,2.00182E-02
-1.583328E-04,6.83184E-01,2.01160E-02
-1.583296E-04,6.77319E-01,2.00182E-02
-1.583264E-04,6.85139E-01,1.97739E-02
-1.583232E-04,6.81229E-01,2.00182E-02
-1.583200E-04,6.83184E-01,2.02137E-02
-1.583168E-04,6.79274E-01,2.00671E-02
-1.583136E-04,6.85139E-01,1.97250E-02
-1.583104E-04,6.89049E-01,2.02137E-02
-1.583072E-04,6.85139E-01,2.02137E-02
-1.583040E-04,6.83184E-01,1.96761E-02
-1.583008E-04,6.91004E-01,1.99694E-02
-1.582976E-04,6.85139E-01,2.03115E-02
-1.582944E-04,6.87094E-01,1.94806E-02
-1.582912E-04,6.77319E-01,1.95784E-02
-1.582880E-04,6.89049E-01,2.05559E-02
-1.582848E-04,6.81229E-01,1.98716E-02
-1.582816E-04,6.83184E-01,1.92851E-02
-1.582784E-04,6.83184E-01,2.05070E-02
-1.582752E-04,6.89049E-01,1.98716E-02
-1.582720E-04,6.83184E-01,1.90896E-02
-1.582688E-04,6.83184E-01,2.01649E-02
-1.582656E-04,6.87094E-01,2.02137E-02
-1.582624E-04,6.91004E-01,1.90407E-02
-1.582592E-04,6.83184E-01,1.98716E-02
-1.582560E-04,6.89049E-01,2.04092E-02
-1.582528E-04,6.85139E-01,1.94806E-02
-1.582496E-04,6.81229E-01,1.97739E-02
-1.582464E-04,6.85139E-01,2.03604E-02
-1.582432E-04,6.96869E-01,1.98227E-02
-1.582400E-04,6.91004E-01,1.96761E-02
-1.582368E-04,6.92959E-01,2.02626E-02
-1.582336E-04,6.91004E-01,2.00671E-02
-1.582304E-04,6.89049E-01,1.97250E-02
-1.582272E-04,6.87094E-01,2.00182E-02
-1.582240E-04,6.94914E-01,2.02137E-02
-1.582208E-04,6.92959E-01,2.01160E-02
